feature,correlation,abs_correlation,p_value,n_samples
corrected_visits_step1,1.0,1.0,0.0,151
corrected_visits_per_sq_ft,0.6594532659543536,0.6594532659543536,3.3599503112248123e-20,151
visits_per_sq_ft,0.6594532659543536,0.6594532659543536,3.3599503112248123e-20,151
competitors_20mi,-0.35800459823560027,0.35800459823560027,6.386186934653674e-06,151
competitors_10mi,-0.26763877918365647,0.26763877918365647,0.00089281132385631,151
saturation_20mi,-0.2406471554904298,0.2406471554904298,0.002916388411489887,151
pct_bachelor_plus,-0.22384854491758724,0.22384854491758724,0.006063601426651316,149
affluent_market_5mi,-0.2213183087596162,0.2213183087596162,0.006677684225029897,149
pop_20mi,-0.21159119458541303,0.21159119458541303,0.009105478009706788,151
competition_weighted_20mi,-0.20743170752277174,0.20743170752277174,0.010599220498074054,151
median_household_income,-0.2067252101180404,0.2067252101180404,0.011421329867996707,149
per_capita_income,-0.20020984061216265,0.20020984061216265,0.014359961895740094,149
masters_degree,-0.18253316714881934,0.18253316714881934,0.024880904716859515,151
population_density,-0.1791605244354797,0.1791605244354797,0.027728380379808973,151
educated_urban_score,-0.17817197121302675,0.17817197121302675,0.02970698131808722,149
pop_1mi,-0.17429099692065966,0.17429099692065966,0.03232760788660362,151
pop_5mi,-0.16921799860049658,0.16921799860049658,0.037791405341943536,151
pop_10mi,-0.16891370982782727,0.16891370982782727,0.038142481664922616,151
sq_ft,0.16487101547233485,0.16487101547233485,0.04307322141469188,151
saturation_10mi,-0.16361984915317856,0.16361984915317856,0.04470324975123149,151
pop_3mi,-0.16340424208943893,0.16340424208943893,0.04498928210619817,151
age_adjusted_catchment_3mi,-0.15168992421038233,0.15168992421038233,0.06478788862868513,149
bachelors_degree,-0.13910963903486512,0.13910963903486512,0.08847531834780431,151
competitors_1mi,-0.13099664974522782,0.13099664974522782,0.10887861573293613,151
competitors_5mi,-0.1305817189209067,0.1305817189209067,0.11001370063036414,151
competitors_3mi,-0.12387739248081073,0.12387739248081073,0.12966490902454603,151
doctorate_degree,-0.12179804343707856,0.12179804343707856,0.13627825720528,151
median_age,0.1197262060814246,0.1197262060814246,0.14584283233787698,149
census_geoid,-0.1155612583652118,0.1155612583652118,0.15766199354007682,151
census_county_fips,-0.11522027011140454,0.11522027011140454,0.15889983485068687,151
professional_degree,-0.10003795914509757,0.10003795914509757,0.22165463153869094,151
census_tract_fips,-0.0465834826927595,0.0465834826927595,0.5700491511785797,151
census_tract_name,-0.046583482692759484,0.046583482692759484,0.5700491511785797,151
tract_area_sqm,0.04276955483968245,0.04276955483968245,0.6020655488721851,151
total_pop_25_plus,-0.0403107566256955,0.0403107566256955,0.6231220392898322,151
saturation_1mi,-0.03483379779842012,0.03483379779842012,0.6711160481282803,151
saturation_3mi,-0.03373814803296286,0.03373814803296286,0.6808867989118458,151
match_score,0.025955889391861907,0.025955889391861907,0.7517336892762556,151
total_population,-0.01594161180883808,0.01594161180883808,0.8459579748400178,151
saturation_5mi,0.0030786726102382447,0.0030786726102382447,0.9700727242095513,151
census_state_fips,,,,151
correction_placer_factor,,,,151
