census_geoid,latitude,longitude
12115002732,27.0321781,-82.3796042
12031013403,30.2587453,-81.7336814
12105014402,27.8852225,-81.6282063
12009068502,28.3855242,-80.5986155
12011090502,26.0413682,-80.1835049
42017105013,40.211128,-75.0255222
12103024508,27.921735,-82.7104315
12011050401,26.1680515,-80.1741162
42003101100,40.4842661,-79.9493327
12127091034,28.9189535,-81.1795213
42003080400,40.4563358,-79.9459071
42003140100,40.4427482,-79.9373596
42129800200,40.5756954,-79.7648454
12005000301,30.5162784,-85.4375473
12086019100,25.6784107,-80.3953909
12009071354,28.0328793,-80.81605
42041012502,40.1723097,-77.1388187
12086008502,25.7071776,-80.3378522
12113010506,30.6864965,-87.0944276
42043020400,40.2681188,-76.890708
12085001404,27.0719384,-80.1524481
12031002502,30.3132677,-81.7226262
12086009705,25.949054,-80.1681189
12095016509,28.5757526,-81.1707681
12117020703,28.7551238,-81.397856
42101009801,39.9775172,-75.2665972
12091020306,30.7290383,-86.4685471
42003561400,40.4506482,-79.8620299
12097041900,28.3155401,-81.4202393
12086002707,25.8023077,-80.1863594
42029302807,39.9820512,-75.5499599
12101031805,28.4170789,-82.5748618
12086000310,25.9090334,-80.1955248
12105012127,28.1042422,-81.9872951
12081001904,27.5362544,-82.5239014
12057004602,27.9544907,-82.5339109
12105014802,27.8712185,-81.94896
42125753700,40.1744353,-80.2324358
12103026816,27.9955035,-82.683537
12086005903,25.7518255,-80.3112503
12111382123,27.3440014,-80.3940511
12086003917,25.8459317,-80.1510075
12086000226,25.9346718,-80.1770517
12057011610,28.0318842,-82.5773639
12117021805,28.6458666,-81.372449
42069110401,41.5018642,-75.6708693
12071050106,26.4822098,-81.8614703
12069030306,28.8755744,-81.7632497
42045406902,39.8654234,-75.4157544
12071040133,26.5692799,-81.7880419
12086011009,25.4843944,-80.4233521
12099007758,26.6489952,-80.2672083
12069030204,28.843368,-81.6791621
12011060215,26.1620083,-80.2768153
42091208905,40.2605404,-75.6318902
42003130200,40.4586937,-79.8934943
12011110367,25.9917968,-80.2566577
42133020922,40.1214239,-76.8270739
12011040300,26.1917798,-80.1215352
12021011303,26.4295084,-81.4462367
42091200800,40.2770945,-75.2988719
12095018300,28.5461435,-81.4178715
12001001908,29.7905613,-82.2860259
12071040205,26.6666746,-81.6834548
42051262400,39.8471578,-79.6831684
12086006503,25.7544491,-80.2262173
12009068400,28.3581478,-80.6291495
42129801200,40.6054971,-79.6388129
42013100900,40.5491778,-78.3780198
42125755200,40.163547,-80.1852472
42003451102,40.5218403,-80.1969462
12053041602,28.5428565,-82.6210875
12011091904,26.0003782,-80.1457935
42091203302,40.1596472,-75.3501575
12086009305,25.9060039,-80.3093178
42063961104,40.6176987,-79.1520757
12057013414,27.8849045,-82.2568575
12031010307,30.4490186,-81.6448968
12086008703,25.7274592,-80.3793576
42003290200,40.3993665,-79.9838292
12086013700,25.8634748,-80.3283033
12021010431,26.1787519,-81.7443068
42091201004,40.2298399,-75.299868
12103024601,27.8377224,-82.6697089
12057013918,27.8284657,-82.2755589
12086008431,25.6932154,-80.378299
12081002014,27.4960196,-82.3728881
42003980600,40.4515634,-80.0280024
12011060603,26.1277513,-80.2921213
12035060208,29.4379933,-81.1905217
42003427000,40.4817489,-79.9737949
42045401700,39.9439707,-75.2607999
42017100210,40.116139,-74.9159554
42029302206,40.0309923,-75.6511245
42097082400,40.7954355,-76.472057
12015010301,26.9198049,-82.0519394
12095016604,28.5368599,-80.9975731
12095017121,28.4445564,-81.4797104
42003460001,40.4894622,-80.103283
12085000400,27.2333675,-80.2502781
12009060301,28.6525411,-80.8563029
12011100104,25.9801736,-80.121071
12105012509,28.2304316,-81.6255341
12099006604,26.4753961,-80.1158674
12009071337,28.0255543,-80.7048637
12086016200,25.7222523,-80.4373746
12117021806,28.6557108,-81.371689
12057011010,28.0924932,-82.4192505
12009066103,28.0407113,-80.5528403
12057014122,27.7241906,-82.4067301
42077000101,40.630424,-75.4291736
12095014703,28.521915,-81.4635214
42001030901,39.8719928,-77.0540297
12103023700,27.7878073,-82.625563
12009060202,28.6300836,-80.8632772
42017102102,40.3638197,-75.2297473
12086000223,25.9037064,-80.1710196
42079201600,41.2650931,-75.840729
42075002702,40.370357,-76.3833703
12103027606,27.8847412,-82.8497718
12127081202,29.223209,-81.0087616
12086013802,25.87236,-80.3338098
42043023000,40.261667,-76.821096
12011092000,26.0050491,-80.1264806
42077000500,40.6055172,-75.4588073
42043021500,40.2615585,-76.8573167
42003564400,40.3765256,-79.7912576
12005001100,30.1649856,-85.6052602
12057002800,27.9742037,-82.472712
12051000403,26.7527222,-81.4118758
42049002300,42.1007285,-80.0873089
12103025004,27.8485022,-82.7388111
12099007208,26.4068133,-80.0808408
42019902300,40.8589073,-79.9057968
12057004500,27.9614833,-82.4931798
12011030803,26.2176178,-80.1376265
12103027326,28.0558568,-82.7014109
12097042800,28.327347,-81.2726988
12095017503,28.6626851,-81.4748743
42055010702,39.8767832,-77.6580612
12071010422,26.587616,-82.020144
42029300502,40.1189632,-75.5272783
42003464300,40.4448266,-80.0685083
12031001500,30.3561218,-81.6707568
12127081201,29.2337459,-81.0147822
12083002604,29.1018365,-82.327101
12099001102,26.8029459,-80.0526609
12086009318,25.9257933,-80.3177184
42011011400,40.3026332,-75.9670814
12101032009,28.2056448,-82.4237984
42129803902,40.3121122,-79.5485689
42017101610,40.2179981,-75.108396
12091021002,30.4874798,-86.4378235
42007603400,40.6877215,-80.2713239
12113010825,30.3764484,-86.8936658
12001000600,29.655762,-82.2886904
12073002422,30.5826218,-84.2632761
42077006312,40.5225923,-75.568072
12021010701,26.1219143,-81.7692932
12099005952,26.5142683,-80.1303488
12061050810,27.7565183,-80.4896313
42003526302,40.4618335,-79.7105888
42011002001,40.3258042,-75.9022752
12071040109,26.6065824,-81.7269945
42101017201,39.9993972,-75.1686145
42049002200,42.0974535,-80.0961198
12097041600,28.2926748,-81.4115032
42069111500,41.4688487,-75.6215841
42003410000,40.636949,-80.0809003
42101037200,39.9129542,-75.1599458
12086000415,25.8740046,-80.2293852
42043020900,40.2953016,-76.9147946
12086012101,25.9363795,-80.3238418
12057013319,27.9066632,-82.3371704
12086009027,25.7767989,-80.3431706
42045400402,39.956686,-75.2669016
12011091903,26.0090441,-80.1455565
42101007102,39.9409204,-75.2282511
12086010013,25.9420722,-80.2833744
12115001801,27.2793576,-82.5360773
12111382011,27.3137731,-80.3294943
42091204800,40.0465676,-75.2839372
12061050607,27.5740017,-80.4023169
42091201800,40.1068212,-75.1236232
12101032804,28.2605699,-82.1906684
42017104603,40.2828596,-75.143666
12069031318,28.4031246,-81.7776804
12097042901,28.2949982,-81.3810071
42019912406,40.6838364,-79.9835049
12099006908,26.4418896,-80.114336
42133021222,40.0291154,-76.7620656
12111382010,27.2943017,-80.3097289
42101026600,40.0634823,-75.1473352
42085032701,41.1507062,-80.4610964
12103022000,27.7668776,-82.6896388
12071001206,26.5458785,-81.8481121
42077001501,40.5772281,-75.4677318
42003475402,40.3132487,-80.0227149
42091207300,40.3227551,-75.3308291
12011020302,26.2827506,-80.2384467
42003552100,40.3453582,-79.8640158
