USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
FL	12001000201	1238506	0	0.478	0.	29.6545414	-82.333741                                                                                                                                                 
FL	12001000202	857503	0	0.331	0.	29.6461598	-82.3329534                                                                                                                                                 
FL	12001000301	2479034	22169	0.957	0.009	29.6680039	-82.3314185                                                                                                                                         
FL	12001000302	3817438	16093	1.474	0.006	29.6842367	-82.3300625                                                                                                                                         
FL	12001000400	6010490	18712	2.321	0.007	29.6794765	-82.3081207                                                                                                                                         
FL	12001000500	3917560	1068	1.513	0.	29.6568455	-82.3169268                                                                                                                                             
FL	12001000600	7590802	103244	2.931	0.04	29.655762	-82.2886904                                                                                                                                          
FL	12001000700	22450709	456638	8.668	0.176	29.6280432	-82.2957817                                                                                                                                       
FL	12001000806	949560	1453	0.367	0.001	29.6391178	-82.3322072                                                                                                                                           
FL	12001000808	2637624	188599	1.018	0.073	29.6274199	-82.3335258                                                                                                                                        
FL	12001000809	1894951	632752	0.732	0.244	29.630952	-82.3479617                                                                                                                                         
FL	12001000901	2210159	311755	0.853	0.12	29.6431195	-82.3538453                                                                                                                                         
FL	12001000902	2033894	16577	0.785	0.006	29.646941	-82.3470521                                                                                                                                          
FL	12001001000	5635554	17810	2.176	0.007	29.6585473	-82.3550754                                                                                                                                         
FL	12001001100	7797946	0	3.011	0.	29.6760057	-82.3672974                                                                                                                                                
FL	12001001201	2801196	5978	1.082	0.002	29.6958039	-82.3764147                                                                                                                                          
FL	12001001202	5862250	12288	2.263	0.005	29.6941291	-82.3589343                                                                                                                                         
FL	12001001203	3146999	527	1.215	0.	29.6877342	-82.3449419                                                                                                                                              
FL	12001001400	20940352	848989	8.085	0.328	29.6573246	-82.2610423                                                                                                                                       
FL	12001001514	1617727	10031	0.625	0.004	29.632827	-82.362705                                                                                                                                           
FL	12001001515	1550523	6403	0.599	0.002	29.6243675	-82.3632562                                                                                                                                          
FL	12001001516	524639	0	0.203	0.	29.6165535	-82.3588915                                                                                                                                                 
FL	12001001517	1508688	770	0.583	0.	29.6134864	-82.3662197                                                                                                                                              
FL	12001001519	1962044	7459	0.758	0.003	29.612285	-82.3770724                                                                                                                                           
FL	12001001522	4466864	12648	1.725	0.005	29.6316915	-82.3830213                                                                                                                                         
FL	12001001605	7943047	153921	3.067	0.059	29.6490051	-82.3932834                                                                                                                                        
FL	12001001701	7918344	49789	3.057	0.019	29.6815829	-82.4192891                                                                                                                                         
FL	12001001702	7520643	104135	2.904	0.04	29.670292	-82.3973086                                                                                                                                          
FL	12001001802	78183974	1050747	30.187	0.406	29.7936621	-82.4093261                                                                                                                                     
FL	12001001803	8326486	32055	3.215	0.012	29.7125208	-82.3787973                                                                                                                                         
FL	12001001811	14048701	252717	5.424	0.098	29.6937922	-82.4188314                                                                                                                                       
FL	12001001813	19296891	885882	7.451	0.342	29.721227	-82.4201489                                                                                                                                        
FL	12001001815	121258817	1656460	46.818	0.64	29.8876589	-82.5149315                                                                                                                                     
FL	12001001816	125387123	1003859	48.412	0.388	29.8272166	-82.5643661                                                                                                                                    
FL	12001001817	50102362	1290680	19.345	0.498	29.7651986	-82.4750999                                                                                                                                     
FL	12001001818	101744174	187670	39.284	0.072	29.7814576	-82.6110352                                                                                                                                     
FL	12001001819	57112104	74430	22.051	0.029	29.7602355	-82.5402016                                                                                                                                       
FL	12001001902	19712002	127988	7.611	0.049	29.6923515	-82.2859688                                                                                                                                       
FL	12001001907	136949785	25784108	52.877	9.955	29.7261537	-82.1646457                                                                                                                                   
FL	12001001908	270297269	6417986	104.362	2.478	29.7905613	-82.2860259                                                                                                                                   
FL	12001002001	143486282	60788181	55.4	23.47	29.5708268	-82.1532517                                                                                                                                     
FL	12001002002	176430836	24711710	68.12	9.541	29.6175921	-82.1038614                                                                                                                                    
FL	12001002101	166362889	82335945	64.233	31.79	29.5339011	-82.2540715                                                                                                                                   
FL	12001002102	57799970	16109955	22.317	6.22	29.5161676	-82.345469                                                                                                                                      
FL	12001002201	86997119	923354	33.59	0.357	29.6806839	-82.5430707                                                                                                                                       
FL	12001002202	112551698	10405	43.456	0.004	29.6023486	-82.5289138                                                                                                                                      
FL	12001002204	32306361	52182	12.474	0.02	29.677987	-82.4798497                                                                                                                                         
FL	12001002207	5274489	10519	2.036	0.004	29.6486395	-82.4307055                                                                                                                                         
FL	12001002208	10500223	35041	4.054	0.014	29.6515899	-82.4562032                                                                                                                                        
FL	12001002209	123592711	3403088	47.719	1.314	29.5231402	-82.4731015                                                                                                                                    
FL	12001002210	148112044	6700253	57.186	2.587	29.5841975	-82.6230944                                                                                                                                    
FL	12001002217	1739103	8317	0.671	0.003	29.6511771	-82.4175986                                                                                                                                          
FL	12001002218	1645362	0	0.635	0.	29.6390574	-82.4166358                                                                                                                                                
FL	12001002219	8311508	1424797	3.209	0.55	29.6146975	-82.4053902                                                                                                                                        
FL	12001002220	19264834	3006123	7.438	1.161	29.5841963	-82.3982814                                                                                                                                      
FL	12001002221	6103371	0	2.357	0.	29.6115749	-82.4305951                                                                                                                                                
FL	12001002222	18937739	1319	7.312	0.001	29.597042	-82.4497966                                                                                                                                          
FL	12001110800	6761867	34116	2.611	0.013	29.6051988	-82.3554365                                                                                                                                         
FL	12003040101	75834329	0	29.28	0.	30.3211359	-82.0993295                                                                                                                                               
FL	12003040102	258602285	58595	99.847	0.023	30.1961325	-82.1430344                                                                                                                                      
FL	12003040201	1053259063	9627525	406.666	3.717	30.3515444	-82.3680283                                                                                                                                  
FL	12003040202	128043295	0	49.438	0.	30.3012547	-82.1988773                                                                                                                                             
FL	12005000201	506532652	12524112	195.573	4.836	30.3712659	-85.7697628                                                                                                                                  
FL	12005000203	14766309	6505641	5.701	2.512	30.2789714	-85.6518147                                                                                                                                      
FL	12005000204	198022854	94186948	76.457	36.366	30.2933426	-85.7305604                                                                                                                                  
FL	12005000301	96620126	260479	37.305	0.101	30.5162784	-85.4375473                                                                                                                                      
FL	12005000302	337039165	2799908	130.132	1.081	30.3631379	-85.4566479                                                                                                                                   
FL	12005000401	20791905	933754	8.028	0.361	30.3111309	-85.5084051                                                                                                                                       
FL	12005000402	51099904	13503628	19.73	5.214	30.2806592	-85.5705415                                                                                                                                     
FL	12005000500	337874718	28527612	130.454	11.015	30.1593438	-85.481657                                                                                                                                  
FL	12005000600	54190724	9090097	20.923	3.51	29.9839939	-85.4173812                                                                                                                                      
FL	12005000700	114529713	78132185	44.22	30.167	30.0485617	-85.5532308                                                                                                                                   
FL	12005000803	9329325	0	3.602	0.	30.15899	-85.5806328                                                                                                                                                  
FL	12005000804	5139279	291452	1.984	0.113	30.1449483	-85.5611579                                                                                                                                        
FL	12005000805	3551651	301990	1.371	0.117	30.1372378	-85.5775998                                                                                                                                        
FL	12005000806	6725433	8083579	2.597	3.121	30.1247515	-85.5611918                                                                                                                                       
