feature,coefficient,abs_coefficient
sq_ft,2945.398861588091,2945.398861588091
saturation_5mi_FL,-2400.36751766599,2400.36751766599
is_PA,1914.8178461018883,1914.8178461018883
is_FL,-1914.8178461018877,1914.8178461018877
competitors_1mi,-1538.0053916671652,1538.0053916671652
population_density,-1309.6640782129682,1309.6640782129682
saturation_5mi_PA,1246.9150488955943,1246.9150488955943
competitors_10mi,-1185.741865749418,1185.741865749418
competitors_5mi_FL,-1097.7982961214739,1097.7982961214739
saturation_20mi,-1093.243654840942,1093.243654840942
median_age,-1074.0479680063147,1074.0479680063147
doctorate_degree,-1018.7050634751745,1018.7050634751745
pop_1mi,-991.3865572455958,991.3865572455958
educated_urban_score,-985.8567016955164,985.8567016955164
competitors_3mi,-983.657505617243,983.657505617243
competitors_5mi_PA,964.5156890558491,964.5156890558491
tract_area_sqm,943.5136878303456,943.5136878303456
competitors_5mi,-929.9815669708908,929.9815669708908
competitors_20mi,-919.4270589354346,919.4270589354346
median_household_income_FL,-802.6112410573301,802.6112410573301
per_capita_income,-787.9065454220267,787.9065454220267
median_household_income_PA,782.7318719182042,782.7318719182042
age_adjusted_catchment_3mi,-771.1582302665935,771.1582302665935
competition_weighted_20mi,-751.3208294564521,751.3208294564521
total_pop_25_plus,-720.9877622244863,720.9877622244863
pct_bachelor_plus,-674.0338623514359,674.0338623514359
saturation_10mi,-668.1664034618591,668.1664034618591
bachelors_degree,-624.6531859467543,624.6531859467543
saturation_1mi,-493.5038138177147,493.5038138177147
pop_10mi,-461.12505391962145,461.12505391962145
saturation_5mi,396.6677755184503,396.6677755184503
professional_degree,-381.0680704988697,381.0680704988697
pop_5mi,-379.5126509556824,379.5126509556824
pop_5mi_FL,-362.3249876796658,362.3249876796658
pop_20mi_PA,-349.68535035232003,349.68535035232003
pop_20mi,-328.32471010394306,328.32471010394306
masters_degree,-325.05207341714276,325.05207341714276
pop_3mi,-315.67225490639817,315.67225490639817
pop_20mi_FL,-255.14367618463228,255.14367618463228
total_population,109.07298406279749,109.07298406279749
median_household_income,72.26014619482837,72.26014619482837
affluent_market_5mi,-33.17924466236956,33.17924466236956
saturation_3mi,-22.10893748121205,22.10893748121205
pop_5mi_PA,-16.74257037352513,16.74257037352513
