state,data_source,has_placer_data,match_score,match_type,match_details,regulator_name,regulator_address,regulator_city,regulator_zip,regulator_county,placer_name,placer_address,placer_city,placer_zip,latitude,longitude,visits,sq_ft,visits_per_sq_ft,chain_name,chain_id,opening_date,operational_date,product_available,applicant_name,permit_number,region,license_type,dispensary_id,census_state_fips,census_county_fips,census_tract_fips,census_geoid,census_tract_name,total_population,median_age,median_household_income,per_capita_income,total_pop_25_plus,bachelors_degree,masters_degree,professional_degree,doctorate_degree,pop_1mi,pop_3mi,pop_5mi,pop_10mi,pop_20mi,pct_bachelor_plus,population_density,census_tract_error,census_data_complete,census_api_error,census_collection_date,state_abbr,opening_date_census,operational_date_census,product_available_census,applicant_name_census,permit_number_census,region_census,license_type_census,tract_area_sqm
PA,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Ascend Dispensary - Scranton,605 Davis Street,Scranton,18505,,Ascend Cannabis,605 Davis St,Scranton,18505,41.37734603881836,-75.6918716430664,394345.0,11591.83658896589,34.01919937133789,Ascend Cannabis,63d03f601011db3834270ead,10/19/22,10/19/22,Yes,,,,,PA_0000,42.0,69.0,103100.0,42069103100.0,1031.0,1979.0,41.3,67723.0,35244.0,1428.0,319.0,95.0,33.0,5.0,829.2244335767114,5669.2358760244715,12993.211250942788,61773.47262356032,133447.41387915117,31.652661064425768,270.51669730978756,False,True,False,2025-10-23,PA,10/19/22,10/19/22,Yes,,,,,18947393.277282007
PA,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Organic Remedies - Enola,4425 Valley Road,Enola,17025,,Organic Remedies Dispensary,4425 Valley Rd,Enola,17025,40.28966522216797,-76.9726333618164,270651.0,5073.938802820085,53.341400146484375,,,2/16/18,2/16/18,Yes,,,,,PA_0001,42.0,41.0,11301.0,42041011301.0,113.01,5627.0,40.3,109512.0,64565.0,3904.0,1097.0,901.0,204.0,88.0,295.0956229094388,2999.773800004018,9022.571177344533,39249.52513815378,161696.76422260836,58.6577868852459,94.08337800110785,False,True,False,2025-10-23,PA,2/16/18,2/16/18,Yes,,,,,154903690.59482956
PA,regulator_with_placer,True,94.2,exact,addr:100|city:77|zip:100,RISE - Steelton,801 South Front Street,Steelton,17113,,RISE Cannabis,801 S Front St,Elton,17113,40.225128173828125,-76.82743072509766,221148.0,6035.402203004384,36.64179992675781,RISE Cannabis,633415c5c0a23d43dd5c7656,5/3/18,5/3/18,Yes,,,,,PA_0002,42.0,43.0,23400.0,42043023400.0,234.0,1592.0,42.3,59554.0,43120.0,1206.0,153.0,84.0,0.0,0.0,386.21485086474183,5050.2461747894795,13383.287207888172,52880.90513995999,212791.760270937,19.65174129353234,99.40865560735178,False,True,False,2025-10-23,PA,5/3/18,5/3/18,Yes,,,,,41477886.11372252
PA,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Organic Remedies - Chambersburg,900 Wayne Avenue,Chambersburg,17201,,Organic Remedies Dispensary,900 Wayne Ave,Chambersburg,17201,39.915191650390625,-77.65483856201172,218609.0,3309.72021663819,66.05059814453125,,,3/20/18,3/20/18,Yes,,,,,PA_0003,42.0,55.0,10800.0,42055010800.0,108.0,3837.0,51.9,51232.0,42719.0,2996.0,601.0,283.0,119.0,98.0,736.5497288496292,5352.978242070553,12147.248659704186,30053.336781665224,55269.55986539866,36.748998664886514,234.82925931856687,False,True,False,2025-10-23,PA,3/20/18,3/20/18,Yes,,,,,42319189.63095867
PA,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Verilife - Williamsport,2300 E. 3rd Street,Williamsport,17701,,Verilife,2300 E 3rd St,Williamsport,17701,41.247108459472656,-76.95706939697266,217337.0,6893.612863152501,31.527299880981445,Verilife,66b3d1fae1fdc11b8321b525,4/12/21,4/12/21,Yes,,,,,PA_0004,42.0,81.0,11100.0,42081011100.0,111.0,5771.0,51.0,57028.0,35688.0,4261.0,1036.0,363.0,125.0,48.0,479.19296291463104,3293.137773050786,7507.832047935649,30410.270296552106,59508.722828803446,36.89274818117813,152.77791049853988,False,True,False,2025-10-23,PA,4/12/21,4/12/21,Yes,,,,,97833650.81526528
PA,regulator_with_placer,True,98.8,fuzzy,addr:98|city:100|zip:100,Bloc Dispensary - Edwardsville,7B Gateway Shopping Center,Edwardsville,18704,,Justice Grown Edwardsville,7 Gateway Shopping Center,Edwardsville,18704,41.25727844238281,-75.89913940429688,217266.0,1861.539161366728,116.71309661865234,,,3/20/18,3/20/18,Yes,,,,,PA_0005,42.0,79.0,213200.0,42079213200.0,2132.0,4917.0,37.9,50046.0,26491.0,3114.0,377.0,116.0,15.0,0.0,1631.5040477102775,13390.5320856212,33339.54710051027,88360.12116936424,138781.85943816896,16.313423249839435,369.4338054434072,False,True,False,2025-10-23,PA,3/20/18,3/20/18,Yes,,,,,34471590.87326902
PA,regulator_with_placer,True,88.6,fuzzy,addr:81|city:100|zip:100,Trulieve - Camp Hill,3401 Hartzdale Drive,Camp Hill,17011,,Trulieve,"3401 Hartzdale Dr, Ste 124",Camp Hill,17011,40.22386169433594,-76.92608642578125,216882.0,5178.727693469551,41.879398345947266,Trulieve,600018e779364106f1345643,10/14/20,10/14/20,Yes,,,,,PA_0006,42.0,41.0,11101.0,42041011101.0,111.01,4898.0,40.4,102398.0,63870.0,3732.0,1421.0,679.0,103.0,9.0,543.3287552858634,6627.495248824624,18698.5769139384,66399.84503831906,224823.9449522726,59.27116827438371,90.05617166267439,False,True,False,2025-10-23,PA,10/14/20,10/14/20,Yes,,,,,140864984.48454335
PA,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Organic Remedies - North Pittsburgh,7402 McKnight Road,Pittsburgh,15237,,Organic Remedies Dispensary,7402 Mcknight Rd,Pittsburgh,15237,40.54077911376953,-80.01173400878906,213653.0,5940.531317908785,35.965301513671875,,,11/26/21,11/26/21,Yes,,,,,PA_0007,42.0,3.0,429201.0,42003429201.0,4292.01,4954.0,43.5,116392.0,64170.0,3778.0,1429.0,686.0,179.0,74.0,802.3092480819154,7320.288734604072,20092.505082569303,70044.59011593446,246113.69979993624,62.67866596082583,254.19149666580265,False,True,False,2025-10-23,PA,11/26/21,11/26/21,Yes,,,,,50476907.05747427
PA,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Trulieve - Pittsburgh Squirrel Hill,5600 Forward Avenue,Pittsburgh,15217,,Trulieve,5600 Forward Ave,Pittsburgh,15217,40.427467346191406,-79.92692565917969,196173.0,7402.671065754634,26.50029945373535,Trulieve,600018e779364106f1345643,2/16/18,2/16/18,Yes,,,,,PA_0008,42.0,3.0,141400.0,42003141400.0,1414.0,5455.0,44.1,111637.0,69129.0,4085.0,971.0,776.0,564.0,598.0,2888.7272270611625,20529.113719408495,41944.089337535144,172241.6170909988,463877.567553265,71.21175030599755,612.3529403372384,False,True,False,2025-10-23,PA,2/16/18,2/16/18,Yes,,,,,23072289.86639493
PA,regulator_with_placer,True,97.0,fuzzy,addr:95|city:100|zip:100,Trulieve - Washington,"200 Adios Drive, Suite 20",Washington,15301,,Trulieve,200 Adios Dr Ste 20,Washington,15301,40.21643829345703,-80.20086669921875,195455.0,6098.154834477253,32.05149841308594,Trulieve,600018e779364106f1345643,2/14/20,2/14/20,Yes,,,,,PA_0009,42.0,125.0,745101.0,42125745101.0,7451.01,3994.0,39.4,102708.0,55606.0,2953.0,1039.0,296.0,92.0,96.0,298.83327779740983,2134.609162738833,5183.824507654539,20940.913962902818,78734.63924320947,51.57466982729427,106.53883973298302,False,True,False,2025-10-23,PA,2/14/20,2/14/20,Yes,,,,,97095219.90220724
