Opening Week,Location
" October 14 - 18, 2024", Ayr Cannabis Dispensary – Pensacola
" October 14 - 18, 2024", Curaleaf – Olympia Heights
" October 14 - 18, 2024", Trulieve – Orlando
" October 14 - 18, 2024",Trulieve – St. Augustine 
" October 21 - 25, 2024", Trulieve – Lake Placid 
"October 28 – November 1, 
2024"," GTI Florida, LLC – Orlando "
" November 11 – 15, 2024", Sunburn – Cape Coral 
" November 11 – 15, 2024", Trulieve – Dania Beach
" November 11 – 15, 2024", Trulieve – Spring Hill 
" November 18 – 22, 2024", Trulieve – Jacksonville 
"December 2 – 6, 2024", Sanctuary Cannabis – Tampa
"December 2 – 6, 2024", Sunburn – Indialantic 
"December 2 – 6, 2024", Trulieve – Tampa 
" December 9 – 13, 2024"," Cookies Florida, Inc. – Palm Bay"
" December 16 – 20, 2024", Planet 13 Florida Cannabis for the Planet – Panama City 
" December 30, 2024 –January 3, 2025", Green Dragon – Cape Coral
" January 6 – 10, 2025", Ayr Cannabis Dispensary – Miami 
" January 6 – 10, 2025"," Cookies Florida, Inc. – Fort Myers"
"January 13 – 17, 2025", Trulieve – Palm Coast
" January 27 – 31, 2025",FLUENT – Miami Gardens
" January 27 – 31, 2025", GrowHealthy – Jacksonville 
" January 27 – 31, 2025", Jungle Boys – Gainesville 
" February 3 – 7, 2025", Goldflower Cannabis – Tampa 
"February 10 – 14, 2025", MÜV – North Miami Beach
"February 10 – 14, 2025", Sunburn – Stuart 
"February 17 – 21, 2025", The Flowery – Orlando 
" March 10 – 14, 2025", Planet 13 Florida Cannabis for the Planet – Orange Park 
" March 10 – 14, 2025", Planet 13 Florida Cannabis for the Planet – Port Richey
" March 10 – 14, 2025", Trulieve – Miami Beach
" March 24 – 28, 2025",Jungle Boys - Jacksonville 
" March 31 – April 4, 2025"," Cookies Florida, Inc. – Orange Park "
" March 31 – April 4, 2025", MÜV – New Smyrna Beach 
"April 7 – 11, 2025", Trulieve – St. Petersburg 
" April 14 – 18, 2025"," Cookies Florida, Inc. – Orlando "
" April 14 – 18, 2025"," Curaleaf Florida, LLC – Winter Park "
" April 14 – 18, 2025", Jungle Boys – West Palm Beach 
" April 21 – 25, 2025","Cookies Florida, Inc. – Brooksville"
" April 21 – 25, 2025","GTI Florida, LLC – Ocala"
" April 21 – 25, 2025",One Plant Cannabis – Orange Park
" April 21 – 25, 2025", Planet 13 – Edgewater
"May 19 – 23, 2025",Curaleaf – Punta Gorda 
" June 2 – 6, 2025", Goldflower Cannabis – Miami
" June 23 – 27, 2025", Goldflower Cannabis – Orlando 
" June 23 – 27, 2025", GrowHealthy – Palm Harbor
" June 23 – 27, 2025", Trulieve – Oakland Park 
" June 30 – July 4, 2025",Jungle Boys – St. Petersburg 
" July 7 – 11, 2025", The Flowery – Palm Bay 
" July 21 – 25, 2025", Curaleaf – St. Augustine 
" August 4 – 8, 2025", Eden – Tampa 
" August 4 – 8, 2025",Goldflower Cannabis – Bonita Springs
" September 1 – 5, 2025", Goldflower – Lakeland 
" September 1 – 5, 2025",MÜV – Crystal River
" September 8 – 12, 2025", GrowHealthy – Tamarac 
" September 8 – 12, 2025",Planet 13 Florida Cannabis for the Planet – Pace
" September 8 – 12, 2025"," Curaleaf Florida, LLC – Apopka"
"September 15 – 19,
2025", One Plant Cannabis – Brandon 
"September 29 – October 3, 
2025", Eden – Sarasota
" October 6 – 10, 2025", Planet 13 – Deland 
" October 6 – 10, 2025",Cookies Florida – Sanford 
